city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Indianapolis,Indianapolis,39.7771,-86.1458,United States,US,USA,Indiana,admin,1729849.0,1840030084
Cincinnati,Cincinnati,39.1413,-84.506,United States,US,USA,Ohio,,1692702.0,1840003814
Cleveland,Cleveland,41.4764,-81.6805,United States,US,USA,Ohio,,1680247.0,1840000596
Columbus,Columbus,39.9862,-82.9855,United States,US,USA,Ohio,admin,1572546.0,1840003760
Louisville,Louisville,38.1663,-85.6485,United States,US,USA,Kentucky,,963812.0,1840030815
Dayton,Dayton,39.7805,-84.2003,United States,US,USA,Ohio,,668825.0,1840034249
Akron,Akron,41.0798,-81.5219,United States,US,USA,Ohio,,541945.0,1840000791
Toledo,Toledo,41.6638,-83.5827,United States,US,USA,Ohio,,493302.0,1840000572
Fort Wayne,Fort Wayne,41.0888,-85.1436,United States,US,USA,Indiana,,337163.0,1840008261
Lexington,Lexington,38.0423,-84.4587,United States,US,USA,Kentucky,,321276.0,1840015211
Youngstown,Youngstown,41.0993,-80.6463,United States,US,USA,Ohio,,319065.0,1840003563
Canton,Canton,40.8078,-81.3676,United States,US,USA,Ohio,,294047.0,1840000963
South Bend,South Bend,41.6767,-86.2696,United States,US,USA,Indiana,,278061.0,1840009241
Evansville,Evansville,37.9881,-87.5341,United States,US,USA,Indiana,,203661.0,1840013730
Lorain,Lorain,41.4409,-82.184,United States,US,USA,Ohio,,201808.0,1840000644
Lafayette,Lafayette,40.3991,-86.8593,United States,US,USA,Indiana,,160543.0,1840008354
Elkhart,Elkhart,41.6916,-85.9627,United States,US,USA,Indiana,,149423.0,1840008187
Bloomington,Bloomington,39.1637,-86.5257,United States,US,USA,Indiana,,108387.0,1840007376
Bowling Green,Bowling Green,36.9716,-86.4378,United States,US,USA,Kentucky,,99669.0,1840013265
Carmel,Carmel,39.965,-86.146,United States,US,USA,Indiana,,99453.0,1840007260
Fishers,Fishers,39.9588,-85.9659,United States,US,USA,Indiana,,99041.0,1840010496
Middletown,Middletown,39.5033,-84.3659,United States,US,USA,Ohio,,93870.0,1840003804
Muncie,Muncie,40.1989,-85.395,United States,US,USA,Indiana,,88061.0,1840008365
Anderson,Anderson,40.0891,-85.6892,United States,US,USA,Indiana,,83875.0,1840007242
Springfield,Springfield,39.93,-83.7959,United States,US,USA,Ohio,,81620.0,1840003765
Parma,Parma,41.3843,-81.7286,United States,US,USA,Ohio,,80587.0,1840003406
Terre Haute,Terre Haute,39.466,-87.3751,United States,US,USA,Indiana,,80567.0,1840009671
Newark,Newark,40.0706,-82.425,United States,US,USA,Ohio,,79959.0,1840001419
Elizabethtown,Elizabethtown,37.7031,-85.8773,United States,US,USA,Kentucky,,77770.0,1840013218
Hammond,Hammond,41.6168,-87.4909,United States,US,USA,Indiana,,77390.0,1840007092
Owensboro,Owensboro,37.7575,-87.1172,United States,US,USA,Kentucky,,75644.0,1840014340
Mansfield,Mansfield,40.7656,-82.5275,United States,US,USA,Ohio,,73448.0,1840000960
Noblesville,Noblesville,40.0355,-86.0042,United States,US,USA,Indiana,,70442.0,1840013891
Michigan City,Michigan City,41.7092,-86.869,United States,US,USA,Indiana,,69459.0,1840013869
Gary,Gary,41.5905,-87.3473,United States,US,USA,Indiana,,69136.0,1840008194
Greenwood,Greenwood,39.6019,-86.1073,United States,US,USA,Indiana,,63579.0,1840007332
Hamilton,Hamilton,39.3939,-84.5653,United States,US,USA,Ohio,,63149.0,1840003803
Kokomo,Kokomo,40.464,-86.1277,United States,US,USA,Indiana,,59534.0,1840013844
Kettering,Kettering,39.6956,-84.1494,United States,US,USA,Ohio,,57707.0,1840003783
Elyria,Elyria,41.376,-82.106,United States,US,USA,Ohio,,52780.0,1840000643
Cuyahoga Falls,Cuyahoga Falls,41.1641,-81.5207,United States,US,USA,Ohio,,50916.0,1840000795
Mishawaka,Mishawaka,41.6742,-86.1666,United States,US,USA,Indiana,,50899.0,1840014695
Columbus,Columbus,39.2093,-85.9183,United States,US,USA,Indiana,,50896.0,1840013714
Lakewood,Lakewood,41.4822,-81.8008,United States,US,USA,Ohio,,50605.0,1840000608
Jeffersonville,Jeffersonville,38.3376,-85.7026,United States,US,USA,Indiana,,49771.0,1840008642
Euclid,Euclid,41.5903,-81.5188,United States,US,USA,Ohio,,49279.0,1840000600
Lawrence,Lawrence,39.8674,-85.9904,United States,US,USA,Indiana,,49218.0,1840008434
Dublin,Dublin,40.1112,-83.1454,United States,US,USA,Ohio,,48893.0,1840008389
Westfield,Westfield,40.0341,-86.1529,United States,US,USA,Indiana,,48262.0,1840010500
Mentor,Mentor,41.6893,-81.3362,United States,US,USA,Ohio,,47302.0,1840000539
Beavercreek,Beavercreek,39.731,-84.0624,United States,US,USA,Ohio,,46576.0,1840007312
Strongsville,Strongsville,41.3128,-81.8313,United States,US,USA,Ohio,,46165.0,1840003415
Cleveland Heights,Cleveland Heights,41.5113,-81.5636,United States,US,USA,Ohio,,45002.0,1840000597
West Lafayette,West Lafayette,40.4432,-86.9238,United States,US,USA,Indiana,,44861.0,1840010430
Fairfield,Fairfield,39.3301,-84.5409,United States,US,USA,Ohio,,44602.0,1840003802
